,price,product_weight_g,dist,order_delivered_customer_day,seller_id_mean,seller_city_mean,customer_city_mean,cluster
69245,35.9,250.0,7.962347293571725,1,5.259803921568627,5.259803921568627,7.949838187702265,0.0
1203,126.0,1750.0,320.0805604105909,14,8.455645161290322,8.164498531263114,3.889908256880734,2.0
78117,49.9,150.0,17.950952680202814,0,4.517647058823529,5.20036210018105,4.188768009408998,0.0
62402,54.0,250.0,9.617053487025103,1,5.247990815154994,5.20036210018105,3.859154929577465,0.0
85102,19.99,300.0,42.260345471304944,1,4.1875,5.20036210018105,3.9894736842105263,0.0
88718,29.0,250.0,25.160707616325087,0,5.247990815154994,5.20036210018105,4.188768009408998,0.0
28264,38.99,550.0,570.275340154087,13,8.13469387755102,8.164498531263114,8.893838158871567,2.0
85654,84.9,321.0,938.9747070098724,16,9.191919191919192,8.041666666666666,9.09181141439206,3.0
80315,18.99,150.0,2364.8024168143443,8,5.333333333333333,5.20036210018105,12.578947368421051,1.0
9162,30.9,350.0,321.8337577916994,10,7.230769230769231,8.164498531263114,7.7164179104477615,2.0
9557,89.9,1150.0,963.2294891871184,19,8.075601374570446,8.164498531263114,10.385906040268456,3.0
62134,89.9,1175.0,676.4579722284966,6,9.006535947712418,8.164498531263114,9.09181141439206,1.0
71774,13.65,200.0,17.585740346217666,4,5.934782608695652,5.20036210018105,4.256410256410256,0.0
6852,45.0,200.0,16.015519387902497,4,5.247990815154994,5.20036210018105,4.188768009408998,0.0
94751,49.7,1700.0,211.54575598806355,12,8.373983739837398,8.164498531263114,5.748538011695906,2.0
60547,19.9,200.0,4.070290195607534,5,4.780952380952381,5.20036210018105,4.188768009408998,1.0
15796,145.0,200.0,351.8070349312955,21,5.247990815154994,5.20036210018105,8.893838158871567,3.0
41708,549.99,4368.0,343.6599565391053,11,6.2924528301886795,6.593373493975903,7.949838187702265,2.0
99002,79.99,425.0,816.1079321240613,5,5.333333333333333,5.20036210018105,10.7578125,1.0
73293,144.9,233.0,349.6519003238933,6,7.0962962962962965,8.041666666666666,6.367977528089888,1.0
88191,69.9,800.0,290.24625449459205,2,8.455645161290322,8.164498531263114,4.256410256410256,0.0
59920,24.99,350.0,2357.6406353152684,12,5.743781094527363,5.20036210018105,13.850746268656716,2.0
88597,79.0,200.0,495.1459151945214,9,5.247990815154994,5.20036210018105,7.747474747474747,1.0
62434,56.99,250.0,40.365999947335354,5,5.0365448504983386,5.063977746870654,5.698630136986301,1.0
97365,96.9,1375.0,312.2568525551564,7,8.075601374570446,8.164498531263114,4.188768009408998,1.0
40355,59.0,200.0,2386.4739246692193,11,5.247990815154994,5.20036210018105,12.578947368421051,2.0
24535,233.35,3000.0,301.1919853017849,5,7.927835051546392,8.164498531263114,3.944881889763779,1.0
92837,18.9,133.0,535.9539542677992,8,8.570652173913043,8.041666666666666,4.188768009408998,1.0
16519,39.99,217.0,841.6358400102033,7,5.322916666666667,5.20036210018105,10.385906040268456,1.0
84559,37.0,500.0,406.735253364891,6,5.0395189003436425,5.20036210018105,8.623376623376624,1.0
